brand,support_responses,linked_customer_messages,linkage_rate
AmazonHelp,169840,155445,0.9152437588318417
AppleSupport,106860,106696,0.9984652816769605
Uber_Support,56270,55283,0.9824595699306913
SpotifyCares,43265,41734,0.9646134288686005
AmericanAir,36764,36524,0.9934718746599934
Delta,42253,36215,0.8570989042198187
TMobileHelp,34317,33909,0.988110848850424
comcastcares,33031,30455,0.9220126547788441
SouthwestAir,28977,28346,0.9782241087759257
VirginTrains,27817,26373,0.9480892979113492
Tesco,38573,25315,0.6562880771524123
Ask_Spectrum,25860,25165,0.9731245166279969
British_Airways,29361,24108,0.8210891999591294
hulu_support,21872,21570,0.986192392099488
XboxSupport,24557,21305,0.8675734006596897
sprintcare,22381,20149,0.9002725526115902
AskPlayStation,19098,18669,0.9775369148601948
ChipotleTweets,18749,18578,0.9908795135740572
GWRHelp,19364,18562,0.9585829374096261
sainsburys,19466,17735,0.9110757217712936
UPSHelp,17817,17611,0.9884380086434305
VerizonSupport,17966,17580,0.9785149727262608
ATVIAssist,17650,16896,0.9572804532577903
O2,16212,15974,0.9853195164075993
Safaricom_Care,16077,13911,0.8652733718977421
AskTarget,13218,13143,0.9943259192010894
idea_cares,15724,12911,0.8211015008903587
ArgosHelpers,12174,11467,0.9419254148184656
AskLyft,11809,11450,0.9695994580404776
AskPayPal,11298,11212,0.9923880332802266
AirAsiaSupport,12829,10778,0.8401278353729831
marksandspencer,11504,10492,0.9120305980528511
SW_Help,12231,10278,0.8403237674760854
BofA_Help,12683,9319,0.7347630686746038
AskeBay,9686,8767,0.9051207928969647
Morrisons,10126,8572,0.846533675686352
MicrosoftHelps,11304,8469,0.7492038216560509
McDonalds,8478,8406,0.9915074309978769
AirbnbHelp,8875,8403,0.9468169014084507
ChaseSupport,8811,8363,0.9491544660083986
AdobeCare,9917,8234,0.8302914187758395
AskAmex,11358,7973,0.7019721782003874
airtel_care,9881,7845,0.7939479809735857
AldiUK,8114,7705,0.9495932955385753
Ask_WellsFargo,7578,7376,0.9733438902084983
AlaskaAir,7478,7360,0.98422037978069
CoxHelp,7861,7306,0.9293982953822669
JetBlue,8020,7183,0.8956359102244389
AzureSupport,7565,6414,0.8478519497686715
LondonMidland,6822,6242,0.9149809440046907
GloCare,6308,6165,0.9773303741280913
DropboxSupport,5954,4507,0.7569701041316762
GreggsOfficial,4522,4460,0.9862892525431225
HPSupport,7200,4446,0.6175
VirginAtlantic,4318,4195,0.9715145900880037
TacoBellTeam,4082,4078,0.9990200881920627
nationalrailenq,4444,3920,0.8820882088208821
AskPapaJohns,3908,3864,0.9887410440122825
CenturyLinkHelp,3801,3537,0.930544593528019
Postmates_Help,3346,3331,0.9955170352659892
NikeSupport,3468,3324,0.9584775086505191
AskCiti,4081,2941,0.7206567017887773
DellCares,5336,2814,0.5273613193403298
VirginAmerica,2815,2776,0.986145648312611
ATT,2790,2631,0.943010752688172
Walmart,2643,2590,0.9799470298902762
askpanera,2153,2151,0.9990710636321412
IHGService,2643,2134,0.8074158153613318
KFC_UKI_Help,2103,2098,0.997622444127437
TfL,2243,1895,0.8448506464556398
GoDaddyHelp,1965,1867,0.9501272264631043
ArbysCares,1904,1853,0.9732142857142857
AsurionCares,1898,1773,0.934141201264489
NortonSupport,2011,1757,0.8736946792640478
DoorDash_Help,1581,1568,0.9917773561037319
sizehelpteam,1482,1443,0.9736842105263158
Kimpton,1339,1280,0.9559372666168783
VMUcare,1381,1280,0.9268645908761767
DunkinDonuts,1290,1277,0.9899224806201551
TwitterSupport,1290,1277,0.9899224806201551
USCellularCares,1177,1160,0.9855564995751912
SCsupport,1329,1025,0.7712565838976674
AWSSupport,1035,1019,0.9845410628019323
PandoraSupport,1043,1017,0.975071907957814
AskRBC,1011,1002,0.9910979228486647
NeweggService,1079,929,0.860982391102873
AskVirginMoney,914,901,0.9857768052516411
BoostCare,907,876,0.9658213891951488
HiltonHelp,833,815,0.978391356542617
OPPOCareIN,879,815,0.9271899886234357
YahooCare,906,805,0.8885209713024282
GooglePlayMusic,804,802,0.9975124378109452
PearsonSupport,841,790,0.93935790725327
MTNC_Care,784,735,0.9375
asksalesforce,710,677,0.9535211267605633
AskTigogh,715,651,0.9104895104895104
MOO,630,593,0.9412698412698413
ask_progressive,612,588,0.9607843137254902
askvisa,709,561,0.7912552891396333
AskSeagate,639,526,0.8231611893583725
KeyBank_Help,555,517,0.9315315315315316
AskRobinhood,432,429,0.9930555555555556
mediatemplehelp,305,254,0.8327868852459016
JackBox,266,252,0.9473684210526315
AskDSC,210,210,1.0
OfficeSupport,218,193,0.8853211009174312
CarlsJr,196,182,0.9285714285714286
HotelTonightCX,152,133,0.875
